sample_idx,time_s,x_raw,x_g,x_m_s2,device_name,ble_address,odr_hz,capture_elapsed_us,read_failures,overflow_ram
166,0.19359031823461095,-5,-0.00122,-0.011964112999999998,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
167,0.19475652497096405,8,0.001952,0.0191425808,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
168,0.1959227317073171,0,0.0,0.0,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
169,0.1970889384436702,6,0.001464,0.014356935599999999,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
170,0.19825514518002327,1,0.000244,0.0023928226,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
171,0.19942135191637633,-10,-0.00244,-0.023928225999999997,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
172,0.20058755865272943,-1,-0.000244,-0.0023928226,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
173,0.2017537653890825,5,0.00122,0.011964112999999998,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
174,0.20291997212543558,-1,-0.000244,-0.0023928226,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
175,0.20408617886178865,6,0.001464,0.014356935599999999,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
176,0.20525238559814174,12,0.002928,0.028713871199999998,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
177,0.2064185923344948,13,0.003172,0.031106693799999998,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
178,0.2075847990708479,0,0.0,0.0,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
179,0.20875100580720096,7,0.0017079999999999999,0.0167497582,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
180,0.20991721254355405,-2,-0.000488,-0.0047856452,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
181,0.21108341927990712,2,0.000488,0.0047856452,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
182,0.2122496260162602,-2,-0.000488,-0.0047856452,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
183,0.21341583275261328,-19,-0.004636,-0.045463629400000004,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
184,0.21458203948896637,-6,-0.001464,-0.014356935599999999,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
185,0.21574824622531943,20,0.00488,0.047856451999999994,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
186,0.21691445296167253,14,0.0034159999999999998,0.0334995164,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
187,0.2180806596980256,4,0.000976,0.0095712904,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
188,0.21924686643437868,10,0.00244,0.023928225999999997,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
189,0.22041307317073175,18,0.004391999999999999,0.04307080679999999,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
190,0.22157927990708484,6,0.001464,0.014356935599999999,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
191,0.2227454866434379,-2,-0.000488,-0.0047856452,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
192,0.223911693379791,8,0.001952,0.0191425808,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
193,0.22507790011614406,12,0.002928,0.028713871199999998,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
194,0.22624410685249713,-8,-0.001952,-0.0191425808,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
195,0.22741031358885022,-10,-0.00244,-0.023928225999999997,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
196,0.2285765203252033,-2,-0.000488,-0.0047856452,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
197,0.22974272706155638,0,0.0,0.0,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
198,0.23090893379790944,22,0.005368,0.0526420972,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
199,0.23207514053426254,3,0.000732,0.007178467799999999,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
200,0.2332413472706156,6,0.001464,0.014356935599999999,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
201,0.2344075540069687,8,0.001952,0.0191425808,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
202,0.23557376074332176,-9,-0.0021959999999999996,-0.021535403399999997,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
203,0.23673996747967485,-10,-0.00244,-0.023928225999999997,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
204,0.23790617421602792,-9,-0.0021959999999999996,-0.021535403399999997,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
205,0.239072380952381,0,0.0,0.0,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
206,0.24023858768873407,3,0.000732,0.007178467799999999,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
207,0.24140479442508717,12,0.002928,0.028713871199999998,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
208,0.24257100116144023,7,0.0017079999999999999,0.0167497582,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
209,0.24373720789779332,0,0.0,0.0,XIAO-IMU-2,83:49:4C:A3:DE:DB,3330,1004104,0,0
